,ent1,ent2,relation
4921,It,more comedian behaviors,described
4922,successfully Los that,mortality rate,suffered
4923,guitarist Pat Martino,subsequently  depression,experienced
4924,He,eventually  guitar,re-learned
4925,AVM Junior Bake which,,born
4926,soon Gamma Knife he,1992 Tony Award,diagnosed
4927,Finn,Off-Broadway musical New Brain,wrote
4928,Former linebacker Neiron Ball,,diagnosed
4929,disease  which,,placed
4930,singer Drake White,2019  treatment,diagnosed
4931,precautionary car cat,AVM,discovers
4932,AVM,,becomes
4933,central  question,AVMs,answered
4934,,risks,have
4935,Therefore  it,small  risk,better
4936,question,,addressed
4937,Arteritis,Weber syndrome,inflammation
4938,Arteritis,,understood
4939,Arteritis,,distinguished
4940,arteritis  which,,thrombosis
4941,Arteritis,,forms
4942,Signs,Limping Reduced Limping pulse,include
4943,Similar  symptoms,,caused
4944,Various imaging techniques,diagnose,used
4945,Imaging modalities,direct  angiography,include direct
4946,arterial Takayasu stenosis,,used
4947,However  angiography,invasive  patients,recommended
4948,Computed tomography angiography,surrounding vessel wall lesions,determine
4949,CTA,also blood flow,show
4950,angiography  CTA,patients,exposes
4951,Magnetic resonance angiography,stages Takayasu changes,used
4952,MRA,useful disease patients,measured
4953,MRA,expensive  calcification,investigation
4954,when  inflammation,,method
4955,It,also blood flow,show
4956,diagnosis  it,relatively  patients,quick
4957,It,,used
4958,results,scan,visible
4959,Types Arteritis,,primary
4960,example,,arteritis
4961,arteritides  that,different  types,contains
4962,It,two  types,includes
4963,medium-  which,occupancy,contain
4964,type,,common
4965,descent  who,,common
4966,Africa North America,,increasing
4967,inflammatory  that,larger  vessels,disease
4968,Research,,focused
4969,year  number,,suggests
4970,arteritis Temporal arteritis arteritis,inflammatory cell mid-,disease
4971,Temporal  arteritis,higher  incidence,has
4972,However incidence rate,,differs based
4973,Temporal  arteritis,,uncommon
4974,incidence rate,,%
4975,Symptoms,,classified
4976,Headache Low grade fever,,develop
4977,Polyarteritis nodosa,testicular  pain,cause testicular
4978,first-line B. Treatment treatment,,associated
4979,phase  medication,,reduced
4980,cytotoxic treatment medication,,given
4981,cytotoxic  agents,azathioprine,include
4982,glucocorticoid medication glucocorticoid response,,decreased
4983,medication,slowly  dose,reduced
4984,medication,,need
4985,then  treatment,,deemed
4986,Pulsed  therapy,time  inflammation,method
4987,pulse therapy pulse cyclophosphamide,,used
4988,method,,shown
4989,Immunosuppressive pulse therapy,also  relief,demonstrated
4990,other blood that,blood,= External
4991,organs  that,it,carry
4992,extracellular  which,arterial  system,fluid
4993,system  that,,part
4994,level  which,,separated
4995,arterial  system,deoxygenated  blood,divided
4996,small blood that,large blood vessels,known
4997,that,boundary,have
4998,when  it,connective  tissue,considered
4999,which,,called connective
5000,which,,intima
5001,elastic  tissue,artery,allows
5002,layer,,made
5003,flows,,cavity
5004,endothelial  cells,arterial  genes,begins
5005,,,part
5006,it,blood,carry
5007,heart  muscles,oxygenated  blood,aid
5008,pulmonary  veins,oxygenated  blood,carry
5009,,,are
5010,where  it,oxygen,carries
5011,it  it,,unique
5012,umbilical  which,deoxygenated  blood,artery
5013,Arteries,blood pressure,have
5014,pressure,,varies
5015,when heart contracts,,highest
5016,pressure  which,pressure  pulse,produces
5017,Arterioles,collective  influence,have
5018,greatest pressure drop,,nozzles
5019,vascular heart which,,determinants
5020,Arteries,highest lumen diameter,have
5021,It,,consists
5022,body  returns,blood,arteries
5023,Systemic  arteries,,subdivided
5024,smaller mm ones,,elastic
5025,where  nutrients,blood,deliver
5026,aorta blood travels,,called
5027,Arterioles,walls blood blood,help
5028,Aorta aorta,,artery
5029,humans  it,blood,receives
5030,turn arteries they,,become
5031,arterioles supply which,,capillaries
5032,coronary  which,blood,arteries
5033,,,follow
5034,Capillaries  capillaries,,smallest
5035,microvessels,width,have
5036,red blood cell,5  micrometers,have
5037,red blood cells,,distort
5038,small  diameters,large surface area,provide
5039,arterial significance pressures,,generated
5040,High blood pressure,arterial  damage,factor
5041,systemic  pressures,,low
5042,muscle  which,extensive  tissues,surrounded
5043,difference,heart beat heart volume,determined
5044,when  artery,,known
5045,rate  that,,spurted
5046,amount,,copious
5047,time  factors,high blood endothelium,implicated
5048,Atherosclerosis,,disease
5049,cell debris cell that,lipids,caused
5050,intraarterial  injection,recreational drug symptoms,cause
5051,often  amputation,permanent  damage,causes permanent
5052,air that,,considered
5053,This,arteries,result
5054,arteries,spiritual  blood,recognized
5055,theory,,went
5056,"also arteries"""".William Harvey",modern  concept,called
5057,surgery  that,actually  way,opened
5058,Icelanders  who,atherosclerosis,reported
5059,Turner,effectiveness,reported
5060,medicine Aschoff bodies,arterial Blood vessels system,nodules
5061,They,,result
5062,reason Paul Rudolf they,,discovered
5063,Appearance Microscopically Aschoff bodies,,areas
5064,granulomatous Aschoff structures,necrotic plasma centres,developed
5065,Some,giant  cells,fuse
5066,Others,,become
5067,They,,foci
5068,few plasma they,,surrounded
5069,Aschoff bodies,,found
5070,cardiac  manifestations,,Presence
5071,pathognomonic  feature,,presence
5072,Detailed Aschoff nodules,,description
5073,why  they,caterpillar  cells,have abundant
5074,They,,found
5075,Lesions,,found
5076,Evolution,3 Nodules stages,involve
5077,,,Stage
5078,degenerative  stage,earliest  sign,apparent
5079,,,is
5080,affected  focus,characteristics,fragmented
5081,,,Stage
5082,,,stage
5083,Aschoff bodies Aschoff which,,is
5084,stage,,apparent
5085,early  stage,,replaced
5086,heart  numbers,,present
5087,therefore  they,,characteristic
5088,,,stage
5089,which  fibrosis,,stage
5090,nodule,,becomes
5091,less  tissue,,becomes
5092,Eventually  it,,replaced
5093,Aschoff bodies,,discovered
5094,medical  that,so device function,==
5095,natural heart pacemaker,adequate heart rate,is
5096,Modern  pacemakers,optimal pacing modes,programmable
5097,which demand stimulation,,pacemakers
5098,device defibrillator which,pacemaker defibrillator combines pacemaker,called
5099,biventricular  pacemakers,lower heart chambers,have multiple
5100,Anaesthesia  this,electrical  activity,use
5101,electrical  pacemaker,,procedure
5102,Transcutaneous  pacing,external  pacing,called external
5103,procedure,two pacing pads,performed
5104,rescuer,pacing pacing current,selects
5105,severe muscle determination,,make
5106,External  pacing,,relied upon
5107,emergency that,,procedure
5108,surgical heart procedure,atrio-ventricular  block,used
5109,transvenous  electrode,cardiac  output,placed
5110,Transvenous pacing pacing,,alternative
5111,pacemaker wire,,placed
5112,pacing wire,,connected
5113,Transvenous  pacing,,used
5114,then  it,,kept
5115,heart  pacemaker,transvenous  placement,involves transvenous
5116,which electrode lead,,performed
5117,fluoroscopy  which,passage,facilitated
5118,opposite  end,,connected
5119,,,are
5120,one pacing lead,,placed
5121,,,pacemaker
5122,Here  wires,,placed
5123,lead,ventricle,paces
5124,type,heart  function,resembles
5125,,,pacemaker
5126,pacemaker,three  wires,has
5127,,,One
5128,It,,complicated
5129,,,pacemaker
5130,that,metabolic  needs,has
5131,pacemaker output which,pacing  impulse,device
5132,commonly  generator,,placed
5133,However  placement,,vary
5134,so  it,,designed
5135,titanium  which,,made
5136,enough  generator,therefore  leads,devices
5137,that,theoretical  advantages,offers theoretical
5138,Leadless pacemakers,steerable  catheter,implanted
5139,Basic function Modern pacemakers,multiple  functions,have multiple
5140,basic  form,electrical  rhythm,monitors
5141,second time it,atrium,stimulate
5142,electrical  it,stimulating,hold
5143,sensing activity,,continues
5144,again  impulse,countdown,delivered
5145,complex  forms,atrial  chambers,include
5146,when  synchronization,,suitable
5147,sinoatrial  node,,AAI
5148,already  this,already  –,required
5149,modes,,unusual
5150,pacemakers,careful  programming,used
5151,pathologic sinus event,electric sinus activity,designed
5152,ventricular-demand  pacemaker,vertical  spike,produces
5153,spike,,appears
5154,electrical  activity,,activated
5155,tissue  it,impulse,produces
5156,which  impulse,,mode
5157,QRS p which,,appears
5158,ventricular  which,,used
5159,biventricular  which,septal  walls,used
5160,ventricle  pacemaker,ventricular  contractions,resynchronize
5161,two  one,epicardial vena wall,have
5162,,atrium sinus synchrony,is
5163,Thus  timing,cardiac  function,adjusted
5164,CRT devices,quality,shown
5165,Biventricular pacing,,referred
5166,arrhythmias  CRT,effective  protection,combined
5167,bundle,negative RV effects,pacing Conventional
5168,Indeed  it,,associated
5169,bundle pacing,strong  research,leads
5170,technique lead HBP,long-term heart muscle disease,causes
5171,HBP,also branch block patterns,correct
5172,Advancements,rate-responsive pacemaker parameters,attempt
5173,,predetermined heart rate,compensate
5174,pacemaking National Heart technology,,invented
5175,Advances,tissue welding tissue this,support
5176,Stem cells,,interest
5177,Many  advancements,control,made
5178,Many,controlled  pacemakers,made possible
5179,that,only  ventricles,become common
5180,that,atria,called
5181,dual-chamber models,ventricles pumping efficiency,timing
5182,Rate responsive Rate pacing,appropriately base pacing rate,allows
5183,unnecessary  pacing,ventricle heart incidence,shown
5184,newer dual-chamber devices,thus  worsening,keep
5185,person,general  anesthetic,implanted
5186,antibiotic,usually  risk,given
5187,Pacemakers,,implanted
5188,skin,site  skin,prepared
5189,incision,skin pacemaker generator,made
5190,cases pectoralis device,,created
5191,lead,,fed
5192,tips,,positioned
5193,Surgery,,completed
5194,it,,kept clean
5195,weeks  pacemaker,weeks  risk,taken
5196,,,batteries
5197,procedure  that,end,replaced
5198,Replacement,new  skin,involves
5199,periodically  device,,checked
5200,physician  device,,checked
5201,Routine pacemaker checks,status monitoring availability,done
5202,Newer pacemaker models,at-home pacemaker transmitter,interrogated
5203,data,,accessed
5204,in-office follow-up in-office device,diagnostic  testing,interrogated
5205,tests,cardiac  activity,include
5206,,lead integrity,Impedance
5207,Large  increases,impedance  breach,indicative
5208,,order Threshold atrium,amplitude
5209,time  device,reliably  atrium,duration
5210,time  pacemaker,,dependent
5211,much  it,,life
5212,Other  factors,higher device level,include
5213,that,,arrhythmias such
5214,These,,stored based
5215,devices,intracardiac  electrograms,have
5216,This,necessary programming changes,helpful
5217,other  lifestyle,,issues
5218,sports  that,magnetic  fields,are
5219,types,,find
5220,vehicle seatbelt vehicle harness,,uncomfortable
5221,special pacemaker protection,physical  injuries,able
5222,activity  that,electro-magnetic  fields,avoided
5223,heavy  that,magnetic  fields,includes
5224,Medtronic Revo MRI which,new pacemaker device,approved
5225,,,are several
5226,MRI conditional MRI device,,has
5227,,MR-conditional US pacemakers,have FDA-approved
5228,magnetic  field,pacemakers cell interference,found
5229,Heart Association home devices,single  beat,have
5230,how pulse pacemaker,3 pulse generators,seem
5231,patient,use,imply
5232,medical  he,pacemaker,inform
5233,MRI conditional MRI devices,old pacing wires,ruled
5234,it,cardiac  devices,found
5235,legal  situation,legal feeding pacemakers,say
5236,pacemaker United that,him,thought
5237,physician  who,patient,have
5238,much  they,lives,believe
5239,pacemakers  that,wireless  communication,raised
5240,third  parties,pacemaker patient devices,able
5241,range  they,long range antenna,attempt
5242,proof,concept exploit concept need,helps
5243,prototype firewall which,medical  devices,developed
5244,especially generator patient,steroids blood use,uncommon
5245,possible  complication,,tachycardia
5246,circuit atrioventricular AV node,retrograde limb ventricle,forms
5247,Treatment,typically  pacemaker,involves
5248,pacemaker-tracked  tachycardia,pacemaker  beats,tracked
5249,newer  devices,supraventricular  tachycardias,becoming
5250,which,,need
5251,leads,,infection
5252,Changes,lead  degradation,overcome lead
5253,which pacemaker leads,lead replacement surgery,require
5254,Lead replacement,,done
5255,current  it,then heart valve replacements,Insert
5256,simple  traction,,vary depending
5257,why device replacement,device  leads,disconnected
5258,possible  complications,heart wall heart lead{s,come
5259,other  end,,implanted
5260,human heart body,foreign  devices,implanted
5261,time  removal,simple  lead,involve simple
5262,device laser which,organic  attachments,done
5263,Pacemaker,malposition,lead
5264,pacer lead symptoms treatment,,varies
5265,when  patient,possible  stimulation,called
5266,devices Sometimes devices,pacemakers,excellent
5267,devices,,used
5268,ICD,many  types,has
5269,VT  it,VT  tachycardia,distinguish
5270,This,,known
5271,ventricular  rhythm,,effective
5272,ventricular heart rhythm,ventricular Medical contraction,reported
5273,chamber pacemaker rate,variable,supported
5274,Hospital Crown Street heart,own  accord,used
5275,American physiologist Albert Hyman,electro-mechanical  instrument,described
5276,Hyman,pacemaker  term,referred
5277,apparent  hiatus,nature World War dead,attributed
5278,example  Hyman,data,publish
5279,Lidwell,,aware
5280,General Hospital Toronto General device,external  pacemaker,designed
5281,transcutaneous vacuum tube it,ventricular AC wall fibrillation,crude
5282,number,rechargeable Paul battery,made smaller
5283,1957 William L. Weirich,results,published
5284,studies,aortic heart pressures,demonstrated
5285,,45 Jorge Reynolds kg,constructed
5286,apparatus,70-year-old  priest,used
5287,pivotal silicon that,,event
5288,Wearable,external engineer Earl pacemaker,produced
5289,electrode heart which,plastic box heart rate,housed
5290,later Professor who,Lucas pacemaker device,woman
5291,pioneering  operation,consultant Peter Sleight,carried
5292,Sleight,,became
5293,clinical  implantation,Solna Karolinska pacemaker,1958
5294,device,,failed
5295,then  which,,implanted
5296,implantable pacemaker patient,different Arne pacemakers,went
5297,He,86  inventor,died
5298,catheter John electrode,,demonstrated
5299,improved  version,,implanted
5300,patient,,lasted
5301,rechargeable  which,rechargeable  batteries,used rechargeable
5302,It,,pacemaker
5303,Implantable  pacemakers,Wilson Greatbatch engineer Wilson use,entered
5304,Greatbatch innovation,primary  cells,varied
5305,first  patient,,lived
5306,first  use,,was
5307,guidance electrode it,catheter electrode lead,involved
5308,method,,become
5309,surgeon Leon Abrams,variable-rate heart pacemaker,developed
5310,first  implant,place,took
5311,three  patients,good  recoveries,made good
5312,56  patients,implantation,undergone
5313,cell technology cell which,implantable  devices,battery
5314,isotope-powered  development,isotope-powered  pacemakers,developed isotope-powered
5315,Lithium-iodide,,became
5316,further  impediment,electronic epoxy resin circuitry,diffusion
5317,phenomenon,pacemaker generator,overcome
5318,technology,titanium,became
5319,1974 Manuel A. Villafaña,first St. pacemaker,manufactured
5320,Lithium-iodide,anode life,increased
5321,They,cardiac  pacemaker,began
5322,,first CPI pacemaker,patient
5323,that,devices,announced
5324,devices,,size
5325,prongs,heartbeats,contact
5326,Engineers,,working
5327,2014  patient,Fairbanks Medtronic Micra pacemaker,received
5328,D. Randolph Jones,,doctor
5329,also Jude Medical Inc.,company ’s leadless pacing technology,announced
5330,Nanostim pacemaker,CE,received
5331,post-approval  implants,,occurred
5332,perforations  that,,stopped
5333,investigations St Jude Medical,study,restarted
5334,United States United therapy,,approved
5335,that,dual-chamber pacing,anticipated
5336,Thousands,,removed
5337,bodies  that,explosions,have
5338,simple  that,,procedure
5339,Pacemakers,,devices
5340,inadequate United States access,,reported
5341,multiple  studies,,reported
5342,acceptable  standards,,developed
5343,uterus  head,fetal  head,merged
5344,which shoulder shoulder,,different
5345,Many  babies,pelvis,enter
5346,Persistence,asynclitism  problems,cause
5347,birthing process birthing this,,achieved
5348,birth Kielland forceps,,forceps
5349,,two shoulder cases,See
5350,,,Ginecolog
5351,,,233–55
5352,PMID,,pronounced
5353,microscopic  that,,are
5354,mesothelioma lung it,,lead
5355,when  manufacturers,asbestos,found
5356,building material building effects,,insulator
5357,modern  buildings,1980s  asbestos,thought
5358,use,,made illegal
5359,"100,000  people",,thought
5360,addition  consequences,exposure  decades,contain
5361,top producer Russia,estimated  production,support
5362,Etymology asbestos,,derives
5363,wicks  that,use,reflects
5364,Greek  it,turn  word,adopted
5365,asbestos  who,misnomer,said
5366,amiantos  it,,referred
5367,This,,source
5368,century  usage,,called
5369,word,,pronounced
5370,History People,flexible  objects,used
5371,era  companies,asbestos consumer goods,began
5372,dust it,dust poses,recognize
5373,when  inhabitants,East Finland earthenware utensils,use
5374,BC  identification,,is
5375,asbestos  which,,is
5376,Greek  word,,ἀσβεστος
5377,term asbestos,,traceable
5378,Pliny  Younger,sources  support,credited
5379,natural  property,,wrote
5380,fire  itself,rather  impotence,Suppose
5381,he,Persians amazed Persians it,do
5382,590–628 Khosrow he,simply  it,napkin
5383,Such  cloth,,believed
5384,book Gems book cloths,,called shostakeh
5385,salamander,fire,was
5386,Charlemagne,first Holy Roman tablecloth,said
5387,only  ashes,only  ashes,shown
5388,ancients,perpetual  wicks,assert
5389,lamp asbestos sculptor,lamp asbestos which,lychnis
5390,centuries  asbestos,,used
5391,large-scale asbestos industry,,began
5392,Early  attempts,1850s asbestos market,began
5393,first  companies,England  resource,displayed
5394,German industrialist Louis Wertheim,process,used
5395,decades Clydebank area,,established
5396,Industrial-scale  mining,,began
5397,William Edmond Logan,large  deposits,first
5398,Samples,much  interest,displayed
5399,1876 mining entrepreneurs,Stuart Johnson asbestos industry,established
5400,50-ton  output,machine technologies machine production,rose
5401,largest asbestos mine,,mine
5402,1876 Pure Asbestos this,,began
5403,Mining,,took
5404,South Africa South production,,was
5405,fibrous  anthophyllite,early  start,had
5406,US production,,began
5407,diverse  applications,joint ceiling compound,became
5408,50  %,still UK asbestos,reported
5409,War II World War asbestos,,used
5410,when  production,,peaked
5411,1899 H. Montague Murray,negative health effects,noted
5412,early  researchers,large  number,1900s
5413,man asbestos who,asbestos traces,conducted
5414,Adelaide Anderson,Britain  asbestos,included
5415,Similar  investigations,,conducted
5416,first  diagnosis,,made
5417,Nellie Kershaw,raw asbestos fibre,employed
5418,death,,led
5419,paper  Parliament,inquiry,testified
5420,subsequent  report,,presented
5421,66  %,first health study,concluded
5422,1931 asbestos industry which,,led
5423,rules,work-related  disease,regulated
5424,1931  association,,used
5425,Similar  legislation,,followed
5426,"100,000  people",,died
5427,Roads area mesothelioma occurrence,,rate
5428,Thousands,II ships steam turbines,used
5429,unknown United number,,were
5430,United States government,public asbestos exposure,criticized
5431,asbestos industry officials,1930s asbestos them,proved
5432,Australia  asbestos,,used
5433,mining,,was
5434,use,,phased
5435,dangers,,known
5436,Use,Serpentine minerals group Serpentine sheet,have
5437,Chrysotile,,mineral
5438,United States United chrysotile,,type
5439,,,Manual
5440,additivesIn European it,additivesIn European Union,issued
5441,Amphibole group Amphiboles,,used
5442,Tremolite asbestos,contaminant,constituted
5443,use,,banned
5444,brake pads automobile brake contaminants,brake pads automobile brake discs,included
5445,mid-1990s brake pads,,manufactured
5446,Artificial Christmas snow,,made
5447,brand names brand that,,used
5448,Potential  use,asbestos climate change,raised
5449,wastes health carbon,,taken
5450,well mining waste asbestos,study  it,have
5451,use,,banned
5452,where United asbestos,,States
5453,timeframe  EPA,adequate  evidence,prevented
5454,ban  asbestos,white  asbestos,used
5455,Some,,judged
5456,Sprayed  coatings,,thought
5457,older  buildings,1990s  asbestos,contain
5458,,,is
5459,they,regulations,issued
5460,EPA,asbestos-contaminated  facilities,includes
5461,Renovation,,subject
5462,Asbestos,,material
5463,1973 world asbestos demand,metric 4.8 tons,peaked
5464,asbestos,,present
5465,Being,asbestos locations asbestos risk,reduces
5466,fire protection fire asbestos,also fire protection,remove
5467,,widespread North use,continued widespread
5468,asbestos-cement  A/C,asbestos-cement  sheets,corrugated asbestos-cement
5469,Millions,homes  asbestos,continue
5470,Cutting,J on-site,done on-site
5471,,,been
5472,attacks Lower Manhattan,,blanketed
5473,concern  thousands,asbestos glass concrete,gave
5474,"1,000  tons",,thought
5475,Inhalation,,thought
5476,New York New York City,federal  residences,thought
5477,that,,silicate
5478,It,,used
5479,deposits,,contaminated
5480,Libby W. R. Montana,workers,exposed
5481,asbestos Libby mine,,contaminated
5482,loose-fill W. R. vermiculite,,marketed
5483,now cleanup area,cleanup efforts,began
5484,activities  that,soil,determined
5485,Talc Talc,,contaminated
5486,US federal US law,largely friction issue,required
5487,crayons three that,laboratory tremolite form,found
5488,Prang crayons Prang range,asbestos levels,found
5489,eight trace others,trace amounts,used
5490,later  they,safety,insisted
5491,Richard Lee materials testimony,times asbestos crayons,said
5492,other June makers,products product formulations,agreed
5493,Gouverneur New which,talc,been
5494,Mine Safety Administration,asbestos,claim
5495,recent asbestos work,conclusions,wrote
5496,baby powder contain them,ovarian  cancer,ordered
5497,Types,,defined
5498,asbestos mineral asbestos types,,known
5499,fibrils  that,,themselves
5500,Serpentine class fibers,,curly
5501,only CAS asbestos,,classed
5502,rocks  which,,obtained
5503,chemical  formula,,Mg3(Si2O5)(OH)4
5504,Chrysotile,,appears
5505,Chrysotile,more,used more
5506,Chrysotile,,flexible
5507,common  use,,corrugated
5508,It,,found
5509,Chrysotile,,component
5510,other  items,brake linings brake barriers,made
5511,Amphibole class fibers,,needle-like
5512,Amosite,,members
5513,Amosite Amosite,,name
5514,One  formula,,Fe7Si8O22(OH)2
5515,Amosite,,seen
5516,It,insulation products insulation tiles,found
5517,Crocidolite Crocidolite,,form
5518,One  formula,,Na2FeII3FeIII2Si8O22(OH)2
5519,Crocidolite,,seen
5520,Crocidolite,,occurs
5521,fibers  varieties,,occur
5522,asbestos  they,,fibrillar
5523,Asbestos,,referred
5524,Other  materials,,used
5525,richterite  some,,said
5526,They,,termed
5527,asbestiform minerals asbestiform which,leather,recommended
5528,Asbestos-containing  minerals,mountain leather,include
5529,1.3 million 1.3 tonnes,,mined
5530,Russia,,producer
5531,Asia,largest  consumers,consumes
5532,9  %,,mined
5533,2011  Canada,halted asbestos operations,remaining
5534,2012 Quebec government,asbestos mining,halted
5535,Health,serious health hazards,impact
5536,exposed family who,also  tumors,considered
5537,this,physical  size,suggested
5538,Exposure,,considered dangerous
5539,that,release,considered high
5540,where inhaling they,,exposed
5541,Occupational Safety Administration,workers,has
5542,permissible exposure limit,,fiber
5543,common  diseases,,asbestosis
5544,bans,European Union European use,banned
5545,however  countries,use,permitted
5546,1967  use,,banned
5547,1989 building it,,banned
5548,Asbestos,,continues
5549,Two,still World War asbestos,contain
5550,asbestos  head,B-Class asbestos license,stated
5551,town,,built
5552,local  authorities,references,continues
5553,2018  it,import  products,illegal
5554,,,are
5555,hundreds,asbestos  scandal,sparked
5556,remaining  exceptions,crocidolite,had
5557,amphibole  asbestos,,banned
5558,2002  import,,banned
5559,machines  that,exceptions  parts,announced
5560,North-west,,mine
5561,100  tons,,mined
5562,month,work,enabled
5563,This,viability forced viability mining,continued
5564,1997 South manufacture,,banned
5565,when  government,0.1  %,occurred
5566,government lifetime he,Korean  citizen,became
5567,1985  import,,banned
5568,presence  material,it,asbestos
5569,construction operatives,annual asbestos training,come
5570,legal United States,completely  asbestos,remains
5571,1991 asbestos industry supporters,landmark lawsuit Environmental Protection Agency,issued
5572,asbestos regulation asbestos EPA,ultimately  end,put
5573,many consumer that,legally trace amounts,left many
5574,Six  categories,,banned
5575,Clean Air Act,also asbestos insulation,bans
5576,Product Safety Act,asbestos,bans
5577,Food Administration,asbestos-containing  filters,bans asbestos-containing
5578,2010  Washington,asbestos,banned
5579,Mexico,,was
5580,companies – many,,used
5581,58  %,,went
5582,Vietnam chrysotile asbestos,,banned
5583,Amphibole asbestos,,banned
5584,Vietnam,,one
5585,90  %,100 million 100 m2,used
5586,households  use,asbestos roofing sheets,know
5587,construction materials,continued  use,suggests
5588,Substitutes,,invented
5589,safety,,called
5590,However International Agency,Cancer  fiberglass,removed
5591,decision,carcinogenic  potential,inconsistent
5592,However  study,,funded
5593,texturized fiberglass fabric,,invented
5594,fabric,bulk abrasion resistance,lighter
5595,problems  that,some,texturized
5596,mineral  wool,,insulators
5597,asbestos-cement  that,organic asbestos fibers,developed
5598,now Nutec which,now Nutec fibers,known
5599,Cement-bonded wood fiber,,substitute
5600,Stone fibers,,used
5601,potential  fiber,,polybenzimidazole
5602,° melting that,,fiber
5603,stability  it,,used
5604,countries  asbestos,,disposed
5605,painstakingly  structure,deconstructed  piece,pose particular
5606,British asbestos material,permit landfill asbestos,Flats
5607,United States United EPA,removal,governs
5608,that,asbestos,comply
5609,companies,,called
5610,strict test asbestos,strict test testing,performs
5611,Asbestos,,destroyed
5612,°  it,glass,produces
5613,thermal  treatment,porcelain manufacturing tiles,stoneware
5614,combination,fully chrysotile asbestos fibers,degrades
5615,technically asbestos material,also References Bibliography Castleman,See
5616,,,Asbestos
5617,,,Cliffs
5618,,,ISBN
5619,,,Effects
5620,,,Asbestos
5621,,,Mineral
5622,,,Univ
5623,,,Press
5624,,,p.
5625,,,ISBN
5626,Centre Independent Information Centre site,,likely
5627,Asbestos Asbestos Aspirin,acetylsalicylic acid acetylsalicylic pain,citing
5628,aspirin,Kawasaki disease,include
5629,Aspirin,heart attack heart risk,decreases
5630,Aspirin,further heart attacks,used long-term
5631,pain  effects,,begin
5632,Aspirin,normal  functioning,drug
5633,thromboxane A2 thromboxane which,well  vasoconstriction,able
5634,aspirin,colorectal cancer cancers,suggests
5635,control trials control doses,33 % reduction,showed
5636,adverse  effect,,stomach
5637,significant side effects,stomach asthma,include
5638,those  who,other  NSAIDs,greater
5639,Aspirin,,recommended
5640,It,,recommended
5641,High  doses,,result
5642,precursor,,used
5643,Charles Frédéric Gerhardt,chloride acetylsalicylic acid,treated
5644,69–75 production Aspirin,69–75 production,established
5645,It,, 
5646,It,,available
5647,2019  it,,medication
5648,1899 salicylate Bayer,it,began
5649,popularity,,grew
5650,however brand rights,,lost
5651,which acetylsalicylic acid,prefix Spiraea,blend
5652,Aspirin,,decomposes
5653,It,,stable
5654,clear  solutions,,proceeds
5655,powder-air  mixture,aspirin amount,control
5656,National Institute,recommended exposure limit,set
5657,mg/m3 exposure this,legal exposure limit,set
5658,synthesis,,classified
5659,chemical acid that,salicylic hydroxyl group,treated
5660,acetic  which,aspirin,yields
5661,Small  amounts,,used
5662,method,,demonstrated
5663,vinegar  aspirin,salicylic moist acids,smell
5664,Physical  properties,,substance
5665,acid dissociation constant,,3.5
5666,Polymorphism Polymorphism,one crystal structure,important
5667,Many  drugs,regulatory  approval,receive regulatory
5668,crystal  structure,,known
5669,crystalline  form,,have
5670,new crystal type,,discovered
5671,form,K  I,stable
5672,salicylic carbonyl hydrogen molecule,same hydrogen bonds,form centrosymmetric
5673,acid groups acid polymorphs,identical dimer structures,form identical
5674,London Royal aspirin,production,showed
5675,discovery  he,1982 Nobel Prize,awarded
5676,Prostaglandins,production,due
5677,where acetyl group,,acts
5678,diclofenac  which,,makes
5679,Low-dose  aspirin,inhibitory thromboxane effect,use
5680,people heart who,heart attack,makes
5681,higher  doses,further  inhibition,able
5682,Prostaglandins,diverse  effects,have diverse
5683,platelets  that,blood clots,responsible
5684,low blood doses,myocardial  infarction,caused
5685,COX-1 inhibition,different  types,acted
5686,Aspirin,enzymatic  activity,inhibits
5687,normally  most,normally  prostanoids,produces
5688,2  most,2  lipoxins,produces
5689,Newer NSAID drugs,intent COX-2 incidence,developed
5690,PTGS2 inhibitors,risk,withdrawn
5691,thromboxane levels thromboxane PTGS1,selectively  PTGS2,proposed
5692,anticoagulative  effect,PGI2  risk,removed
5693,new  aspirin,irreversibly  enzyme,unable
5694,hydroperoxy products hydroperoxy which,variety,converts
5695,mediators,anti-inflammatory  activity,possess potent
5696,aspirin-triggered  transition,,proposed
5697,Aspirin,additional  modes,shown
5698,where proton it,again  protons,uncouples oxidative
5699,,Aspirin protons,buffers
5700,it,actually  fever,cause
5701,body  which,independent  inflammation,induces
5702,however  evidence,infection,reduced
5703,salicylic  derivatives,central transcription factor role,suggest salicylic
5704,acid  itself,effects,broken
5705,AMP-activated protein which,AMP-activated protein kinase,found
5706,acetyl portion,own aspirin targets,has
5707,Acetylation,,phenomenon
5708,Aspirin,other  targets,able
5709,acetylation reactions,unexplained  effects,explain many
5710,very  little,,acid
5711,Acetylsalicylic acid,,absorbed
5712,there  more,intestine  aspirin,causes
5713,overdose plasma concentrations,,absorbed
5714,state protein binding,,bound
5715,Saturation,,leads
5716,volume,,L/kg
5717,Acidosis,volume,increases
5718,80  %,,metabolized
5719,,different glucuronide esters,Conjugation
5720,deacetylated acyl conjugate,,referred
5721,metabolic  pathways,limited  capacity,have
5722,Small  amounts,,hydroxylated
5723,metabolic kinetics pathways,excretion,becomes
5724,Salicylates,,excreted
5725,h biotransformation pathways,phenolic  glucuronide,proceed
5726,when urine pH,,becomes
